Tactics,Sentence
Discovery,"xCaon has been used to target political entities in Central Asia, including Kyrgyzstan and Uzbekistan."
Execution,"xCaon has been used to target political entities in Central Asia, including Kyrgyzstan and Uzbekistan."
Defense Evasion,"xCaon has been used to target political entities in Central Asia, including Kyrgyzstan and Uzbekistan."
Discovery,SpeakUp is a Trojan backdoor that targets both Linux and OSX devices.
Execution,SpeakUp is a Trojan backdoor that targets both Linux and OSX devices.
Persistence,SpeakUp is a Trojan backdoor that targets both Linux and OSX devices.
Privilege Escalation,SpeakUp is a Trojan backdoor that targets both Linux and OSX devices.
Command and Control,SpeakUp is a Trojan backdoor that targets both Linux and OSX devices.
Credential Access,SpeakUp is a Trojan backdoor that targets both Linux and OSX devices.
Defense Evasion,SpeakUp is a Trojan backdoor that targets both Linux and OSX devices.
Discovery,It was first observed in January 2019.
Execution,It was first observed in January 2019.
Persistence,It was first observed in January 2019.
Privilege Escalation,It was first observed in January 2019.
Command and Control,It was first observed in January 2019.
Credential Access,It was first observed in January 2019.
Defense Evasion,It was first observed in January 2019.
Command and Control,macOS.OSAMiner is a Monero mining trojan that was first observed in 2018; security researchers assessed macOS.OSAMiner may have been circulating since at least 2015.
Defense Evasion,macOS.OSAMiner is a Monero mining trojan that was first observed in 2018; security researchers assessed macOS.OSAMiner may have been circulating since at least 2015.
Discovery,macOS.OSAMiner is a Monero mining trojan that was first observed in 2018; security researchers assessed macOS.OSAMiner may have been circulating since at least 2015.
Persistence,macOS.OSAMiner is a Monero mining trojan that was first observed in 2018; security researchers assessed macOS.OSAMiner may have been circulating since at least 2015.
Privilege Escalation,macOS.OSAMiner is a Monero mining trojan that was first observed in 2018; security researchers assessed macOS.OSAMiner may have been circulating since at least 2015.
Execution,macOS.OSAMiner is a Monero mining trojan that was first observed in 2018; security researchers assessed macOS.OSAMiner may have been circulating since at least 2015.
Command and Control,"macOS.OSAMiner is known for embedding one run-only AppleScript into another, which helped the malware evade full analysis for five years due to a lack of Apple event AEVT analysis tools."
Defense Evasion,"macOS.OSAMiner is known for embedding one run-only AppleScript into another, which helped the malware evade full analysis for five years due to a lack of Apple event AEVT analysis tools."
Discovery,"macOS.OSAMiner is known for embedding one run-only AppleScript into another, which helped the malware evade full analysis for five years due to a lack of Apple event AEVT analysis tools."
Persistence,"macOS.OSAMiner is known for embedding one run-only AppleScript into another, which helped the malware evade full analysis for five years due to a lack of Apple event AEVT analysis tools."
Privilege Escalation,"macOS.OSAMiner is known for embedding one run-only AppleScript into another, which helped the malware evade full analysis for five years due to a lack of Apple event AEVT analysis tools."
Execution,"macOS.OSAMiner is known for embedding one run-only AppleScript into another, which helped the malware evade full analysis for five years due to a lack of Apple event AEVT analysis tools."
Command and Control,Rancor is a threat group that has led targeted campaigns against the South East Asia region.
Execution,Rancor is a threat group that has led targeted campaigns against the South East Asia region.
Persistence,Rancor is a threat group that has led targeted campaigns against the South East Asia region.
Privilege Escalation,Rancor is a threat group that has led targeted campaigns against the South East Asia region.
Defense Evasion,Rancor is a threat group that has led targeted campaigns against the South East Asia region.
Initial Access,Rancor is a threat group that has led targeted campaigns against the South East Asia region.
Command and Control,Rancor uses politically-motivated lures to entice victims to open malicious documents.
Execution,Rancor uses politically-motivated lures to entice victims to open malicious documents.
Persistence,Rancor uses politically-motivated lures to entice victims to open malicious documents.
Privilege Escalation,Rancor uses politically-motivated lures to entice victims to open malicious documents.
Defense Evasion,Rancor uses politically-motivated lures to entice victims to open malicious documents.
Initial Access,Rancor uses politically-motivated lures to entice victims to open malicious documents.
Defense Evasion,"Kivars is a modular remote access tool RAT, derived from the Bifrost RAT, that was used by BlackTech in a 2010 campaign."
Discovery,"Kivars is a modular remote access tool RAT, derived from the Bifrost RAT, that was used by BlackTech in a 2010 campaign."
Collection,"Kivars is a modular remote access tool RAT, derived from the Bifrost RAT, that was used by BlackTech in a 2010 campaign."
Credential Access,"Kivars is a modular remote access tool RAT, derived from the Bifrost RAT, that was used by BlackTech in a 2010 campaign."
Command and Control,"Kivars is a modular remote access tool RAT, derived from the Bifrost RAT, that was used by BlackTech in a 2010 campaign."
Lateral Movement,"Kivars is a modular remote access tool RAT, derived from the Bifrost RAT, that was used by BlackTech in a 2010 campaign."
Discovery,KeyBoy is malware that has been used in targeted campaigns against members of the Tibetan Parliament in 2016.
Persistence,KeyBoy is malware that has been used in targeted campaigns against members of the Tibetan Parliament in 2016.
Privilege Escalation,KeyBoy is malware that has been used in targeted campaigns against members of the Tibetan Parliament in 2016.
Execution,KeyBoy is malware that has been used in targeted campaigns against members of the Tibetan Parliament in 2016.
Defense Evasion,KeyBoy is malware that has been used in targeted campaigns against members of the Tibetan Parliament in 2016.
Command and Control,KeyBoy is malware that has been used in targeted campaigns against members of the Tibetan Parliament in 2016.
Collection,KeyBoy is malware that has been used in targeted campaigns against members of the Tibetan Parliament in 2016.
Credential Access,KeyBoy is malware that has been used in targeted campaigns against members of the Tibetan Parliament in 2016.
Execution,"NKAbuse is a Go-based, multi-platform malware abusing NKN New Kind of Network technology for data exchange between peers, functioning as a potent implant, and equipped with both flooder and backdoor capabilities."
Discovery,"NKAbuse is a Go-based, multi-platform malware abusing NKN New Kind of Network technology for data exchange between peers, functioning as a potent implant, and equipped with both flooder and backdoor capabilities."
Impact,"NKAbuse is a Go-based, multi-platform malware abusing NKN New Kind of Network technology for data exchange between peers, functioning as a potent implant, and equipped with both flooder and backdoor capabilities."
Command and Control,"NKAbuse is a Go-based, multi-platform malware abusing NKN New Kind of Network technology for data exchange between peers, functioning as a potent implant, and equipped with both flooder and backdoor capabilities."
Collection,"NKAbuse is a Go-based, multi-platform malware abusing NKN New Kind of Network technology for data exchange between peers, functioning as a potent implant, and equipped with both flooder and backdoor capabilities."
Persistence,"NKAbuse is a Go-based, multi-platform malware abusing NKN New Kind of Network technology for data exchange between peers, functioning as a potent implant, and equipped with both flooder and backdoor capabilities."
Privilege Escalation,"NKAbuse is a Go-based, multi-platform malware abusing NKN New Kind of Network technology for data exchange between peers, functioning as a potent implant, and equipped with both flooder and backdoor capabilities."
Defense Evasion,QuietSieve is an information stealer that has been used by Gamaredon Group since at least 2021.
Command and Control,QuietSieve is an information stealer that has been used by Gamaredon Group since at least 2021.
Discovery,QuietSieve is an information stealer that has been used by Gamaredon Group since at least 2021.
Collection,QuietSieve is an information stealer that has been used by Gamaredon Group since at least 2021.
Defense Evasion,ROKRAT is a cloud-based remote access tool RAT used by APT37 to target victims in South Korea.
Collection,ROKRAT is a cloud-based remote access tool RAT used by APT37 to target victims in South Korea.
Discovery,ROKRAT is a cloud-based remote access tool RAT used by APT37 to target victims in South Korea.
Credential Access,ROKRAT is a cloud-based remote access tool RAT used by APT37 to target victims in South Korea.
Execution,ROKRAT is a cloud-based remote access tool RAT used by APT37 to target victims in South Korea.
Exfiltration,ROKRAT is a cloud-based remote access tool RAT used by APT37 to target victims in South Korea.
Initial Access,ROKRAT is a cloud-based remote access tool RAT used by APT37 to target victims in South Korea.
Command and Control,ROKRAT is a cloud-based remote access tool RAT used by APT37 to target victims in South Korea.
Privilege Escalation,ROKRAT is a cloud-based remote access tool RAT used by APT37 to target victims in South Korea.
Defense Evasion,APT37 has used ROKRAT during several campaigns from 2016 through 2021.
Collection,APT37 has used ROKRAT during several campaigns from 2016 through 2021.
Discovery,APT37 has used ROKRAT during several campaigns from 2016 through 2021.
Credential Access,APT37 has used ROKRAT during several campaigns from 2016 through 2021.
Execution,APT37 has used ROKRAT during several campaigns from 2016 through 2021.
Exfiltration,APT37 has used ROKRAT during several campaigns from 2016 through 2021.
Initial Access,APT37 has used ROKRAT during several campaigns from 2016 through 2021.
Command and Control,APT37 has used ROKRAT during several campaigns from 2016 through 2021.
Privilege Escalation,APT37 has used ROKRAT during several campaigns from 2016 through 2021.
Command and Control,SoreFang is first stage downloader used by APT29 for exfiltration and to load other malware.
Discovery,SoreFang is first stage downloader used by APT29 for exfiltration and to load other malware.
Initial Access,SoreFang is first stage downloader used by APT29 for exfiltration and to load other malware.
Execution,SoreFang is first stage downloader used by APT29 for exfiltration and to load other malware.
Persistence,SoreFang is first stage downloader used by APT29 for exfiltration and to load other malware.
Privilege Escalation,SoreFang is first stage downloader used by APT29 for exfiltration and to load other malware.
Defense Evasion,SoreFang is first stage downloader used by APT29 for exfiltration and to load other malware.
Defense Evasion,TA551 is a financially-motivated threat group that has been active since at least 2018.
Reconnaissance,TA551 is a financially-motivated threat group that has been active since at least 2018.
Execution,TA551 is a financially-motivated threat group that has been active since at least 2018.
Initial Access,TA551 is a financially-motivated threat group that has been active since at least 2018.
Command and Control,TA551 is a financially-motivated threat group that has been active since at least 2018.
Defense Evasion,"The group has primarily targeted English, German, Italian, and Japanese speakers through email-based malware distribution campaigns."
Reconnaissance,"The group has primarily targeted English, German, Italian, and Japanese speakers through email-based malware distribution campaigns."
Execution,"The group has primarily targeted English, German, Italian, and Japanese speakers through email-based malware distribution campaigns."
Initial Access,"The group has primarily targeted English, German, Italian, and Japanese speakers through email-based malware distribution campaigns."
Command and Control,"The group has primarily targeted English, German, Italian, and Japanese speakers through email-based malware distribution campaigns."
Execution,SideTwist is a C-based backdoor that has been used by OilRig since at least 2021.
Command and Control,SideTwist is a C-based backdoor that has been used by OilRig since at least 2021.
Discovery,SideTwist is a C-based backdoor that has been used by OilRig since at least 2021.
Defense Evasion,SideTwist is a C-based backdoor that has been used by OilRig since at least 2021.
Collection,SideTwist is a C-based backdoor that has been used by OilRig since at least 2021.
Exfiltration,SideTwist is a C-based backdoor that has been used by OilRig since at least 2021.
Defense Evasion,FinFisher is a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations.
Privilege Escalation,FinFisher is a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations.
Collection,FinFisher is a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations.
Persistence,FinFisher is a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations.
Discovery,FinFisher is a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations.
Credential Access,FinFisher is a government-grade commercial surveillance spyware reportedly sold exclusively to government agencies for use in targeted and lawful criminal investigations.
Defense Evasion,It is heavily obfuscated and uses multiple anti-analysis techniques.
Privilege Escalation,It is heavily obfuscated and uses multiple anti-analysis techniques.
Collection,It is heavily obfuscated and uses multiple anti-analysis techniques.
Persistence,It is heavily obfuscated and uses multiple anti-analysis techniques.
Discovery,It is heavily obfuscated and uses multiple anti-analysis techniques.
Credential Access,It is heavily obfuscated and uses multiple anti-analysis techniques.
Defense Evasion,It has other variants including Wingbird.
Privilege Escalation,It has other variants including Wingbird.
Collection,It has other variants including Wingbird.
Persistence,It has other variants including Wingbird.
Discovery,It has other variants including Wingbird.
Credential Access,It has other variants including Wingbird.
Discovery,WellMess is lightweight malware family with variants written in .NET and Golang that has been in use since at least 2018 by APT29.
Execution,WellMess is lightweight malware family with variants written in .NET and Golang that has been in use since at least 2018 by APT29.
Collection,WellMess is lightweight malware family with variants written in .NET and Golang that has been in use since at least 2018 by APT29.
Command and Control,WellMess is lightweight malware family with variants written in .NET and Golang that has been in use since at least 2018 by APT29.
Defense Evasion,WellMess is lightweight malware family with variants written in .NET and Golang that has been in use since at least 2018 by APT29.
Command and Control,ANDROMEDA is commodity malware that was widespread in the early 2010's and continues to be observed in infections across a wide variety of industries.
Defense Evasion,ANDROMEDA is commodity malware that was widespread in the early 2010's and continues to be observed in infections across a wide variety of industries.
Privilege Escalation,ANDROMEDA is commodity malware that was widespread in the early 2010's and continues to be observed in infections across a wide variety of industries.
Persistence,ANDROMEDA is commodity malware that was widespread in the early 2010's and continues to be observed in infections across a wide variety of industries.
Lateral Movement,ANDROMEDA is commodity malware that was widespread in the early 2010's and continues to be observed in infections across a wide variety of industries.
Initial Access,ANDROMEDA is commodity malware that was widespread in the early 2010's and continues to be observed in infections across a wide variety of industries.
Command and Control,"During the 2022 C0026 campaign, threat actors re-registered expired ANDROMEDA C2 domains to spread malware to select targets in Ukraine."
Defense Evasion,"During the 2022 C0026 campaign, threat actors re-registered expired ANDROMEDA C2 domains to spread malware to select targets in Ukraine."
Privilege Escalation,"During the 2022 C0026 campaign, threat actors re-registered expired ANDROMEDA C2 domains to spread malware to select targets in Ukraine."
Persistence,"During the 2022 C0026 campaign, threat actors re-registered expired ANDROMEDA C2 domains to spread malware to select targets in Ukraine."
Lateral Movement,"During the 2022 C0026 campaign, threat actors re-registered expired ANDROMEDA C2 domains to spread malware to select targets in Ukraine."
Initial Access,"During the 2022 C0026 campaign, threat actors re-registered expired ANDROMEDA C2 domains to spread malware to select targets in Ukraine."
Command and Control,ComRAT is a second stage implant suspected of being a descendant of Agent.btz and used by Turla.
Defense Evasion,ComRAT is a second stage implant suspected of being a descendant of Agent.btz and used by Turla.
Execution,ComRAT is a second stage implant suspected of being a descendant of Agent.btz and used by Turla.
Persistence,ComRAT is a second stage implant suspected of being a descendant of Agent.btz and used by Turla.
Privilege Escalation,ComRAT is a second stage implant suspected of being a descendant of Agent.btz and used by Turla.
Discovery,ComRAT is a second stage implant suspected of being a descendant of Agent.btz and used by Turla.
Exfiltration,ComRAT is a second stage implant suspected of being a descendant of Agent.btz and used by Turla.
Command and Control,"The first version of ComRAT was identified in 2007, but the tool has undergone substantial development for many years since."
Defense Evasion,"The first version of ComRAT was identified in 2007, but the tool has undergone substantial development for many years since."
Execution,"The first version of ComRAT was identified in 2007, but the tool has undergone substantial development for many years since."
Persistence,"The first version of ComRAT was identified in 2007, but the tool has undergone substantial development for many years since."
Privilege Escalation,"The first version of ComRAT was identified in 2007, but the tool has undergone substantial development for many years since."
Discovery,"The first version of ComRAT was identified in 2007, but the tool has undergone substantial development for many years since."
Exfiltration,"The first version of ComRAT was identified in 2007, but the tool has undergone substantial development for many years since."
Command and Control,PingPull is a remote access Trojan RAT written in Visual C++ that has been used by GALLIUM since at least June 2022.
Discovery,PingPull is a remote access Trojan RAT written in Visual C++ that has been used by GALLIUM since at least June 2022.
Collection,PingPull is a remote access Trojan RAT written in Visual C++ that has been used by GALLIUM since at least June 2022.
Defense Evasion,PingPull is a remote access Trojan RAT written in Visual C++ that has been used by GALLIUM since at least June 2022.
Persistence,PingPull is a remote access Trojan RAT written in Visual C++ that has been used by GALLIUM since at least June 2022.
Privilege Escalation,PingPull is a remote access Trojan RAT written in Visual C++ that has been used by GALLIUM since at least June 2022.
Execution,PingPull is a remote access Trojan RAT written in Visual C++ that has been used by GALLIUM since at least June 2022.
Exfiltration,PingPull is a remote access Trojan RAT written in Visual C++ that has been used by GALLIUM since at least June 2022.
Command and Control,"PingPull has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
Discovery,"PingPull has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
Collection,"PingPull has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
Defense Evasion,"PingPull has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
Persistence,"PingPull has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
Privilege Escalation,"PingPull has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
Execution,"PingPull has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
Exfiltration,"PingPull has been used to target telecommunications companies, financial institutions, and government entities in Afghanistan, Australia, Belgium, Cambodia, Malaysia, Mozambique, the Philippines, Russia, and Vietnam."
Discovery,ROADTools is a framework for enumerating Azure Active Directory environments.
Collection,ROADTools is a framework for enumerating Azure Active Directory environments.
Defense Evasion,ROADTools is a framework for enumerating Azure Active Directory environments.
Persistence,ROADTools is a framework for enumerating Azure Active Directory environments.
Privilege Escalation,ROADTools is a framework for enumerating Azure Active Directory environments.
Initial Access,ROADTools is a framework for enumerating Azure Active Directory environments.
Discovery,CARROTBAT is a customized dropper that has been in use since at least 2017.
Execution,CARROTBAT is a customized dropper that has been in use since at least 2017.
Defense Evasion,CARROTBAT is a customized dropper that has been in use since at least 2017.
Command and Control,CARROTBAT is a customized dropper that has been in use since at least 2017.
Discovery,CARROTBAT has been used to install SYSCON and has infrastructure overlap with KONNI.
Execution,CARROTBAT has been used to install SYSCON and has infrastructure overlap with KONNI.
Defense Evasion,CARROTBAT has been used to install SYSCON and has infrastructure overlap with KONNI.
Command and Control,CARROTBAT has been used to install SYSCON and has infrastructure overlap with KONNI.
Persistence,Briba is a trojan used by Elderwood to open a backdoor and download files on to compromised hosts.
Privilege Escalation,Briba is a trojan used by Elderwood to open a backdoor and download files on to compromised hosts.
Defense Evasion,Briba is a trojan used by Elderwood to open a backdoor and download files on to compromised hosts.
Command and Control,Briba is a trojan used by Elderwood to open a backdoor and download files on to compromised hosts.
Execution,PUNCHBUGGY is a backdoor malware used by FIN8 that has been observed targeting POS networks in the hospitality industry.
Defense Evasion,PUNCHBUGGY is a backdoor malware used by FIN8 that has been observed targeting POS networks in the hospitality industry.
Privilege Escalation,PUNCHBUGGY is a backdoor malware used by FIN8 that has been observed targeting POS networks in the hospitality industry.
Persistence,PUNCHBUGGY is a backdoor malware used by FIN8 that has been observed targeting POS networks in the hospitality industry.
Discovery,PUNCHBUGGY is a backdoor malware used by FIN8 that has been observed targeting POS networks in the hospitality industry.
Collection,PUNCHBUGGY is a backdoor malware used by FIN8 that has been observed targeting POS networks in the hospitality industry.
Command and Control,PUNCHBUGGY is a backdoor malware used by FIN8 that has been observed targeting POS networks in the hospitality industry.
Command and Control,"KEYPLUG is a modular backdoor written in C++, with Windows and Linux variants, that has been used by APT41 since at least June 2021."
Discovery,"KEYPLUG is a modular backdoor written in C++, with Windows and Linux variants, that has been used by APT41 since at least June 2021."
Defense Evasion,"KEYPLUG is a modular backdoor written in C++, with Windows and Linux variants, that has been used by APT41 since at least June 2021."
Collection,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Credential Access,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Command and Control,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Defense Evasion,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Discovery,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Persistence,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Privilege Escalation,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Initial Access,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Lateral Movement,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Execution,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Exfiltration,Duqu is a malware platform that uses a modular approach to extend functionality after deployment within a target network.
Collection,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Credential Access,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Discovery,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Exfiltration,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Execution,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Defense Evasion,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Persistence,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Privilege Escalation,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Command and Control,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Lateral Movement,"jRAT is a cross-platform, Java-based backdoor originally available for purchase in 2012."
Collection,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Credential Access,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Discovery,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Exfiltration,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Execution,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Defense Evasion,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Persistence,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Privilege Escalation,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Command and Control,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Lateral Movement,"Variants of jRAT have been distributed via a software-as-a-service platform, similar to an online subscription model."
Impact,Skidmap is a kernel-mode rootkit used for cryptocurrency mining.
Persistence,Skidmap is a kernel-mode rootkit used for cryptocurrency mining.
Privilege Escalation,Skidmap is a kernel-mode rootkit used for cryptocurrency mining.
Command and Control,Skidmap is a kernel-mode rootkit used for cryptocurrency mining.
Defense Evasion,Skidmap is a kernel-mode rootkit used for cryptocurrency mining.
Execution,Skidmap is a kernel-mode rootkit used for cryptocurrency mining.
Discovery,Skidmap is a kernel-mode rootkit used for cryptocurrency mining.
Credential Access,Skidmap is a kernel-mode rootkit used for cryptocurrency mining.
Discovery,USBferry is an information stealing malware and has been used by Tropic Trooper in targeted attacks against Taiwanese and Philippine air-gapped military environments.
Execution,USBferry is an information stealing malware and has been used by Tropic Trooper in targeted attacks against Taiwanese and Philippine air-gapped military environments.
Lateral Movement,USBferry is an information stealing malware and has been used by Tropic Trooper in targeted attacks against Taiwanese and Philippine air-gapped military environments.
Initial Access,USBferry is an information stealing malware and has been used by Tropic Trooper in targeted attacks against Taiwanese and Philippine air-gapped military environments.
Defense Evasion,USBferry is an information stealing malware and has been used by Tropic Trooper in targeted attacks against Taiwanese and Philippine air-gapped military environments.
Collection,USBferry is an information stealing malware and has been used by Tropic Trooper in targeted attacks against Taiwanese and Philippine air-gapped military environments.
Discovery,"USBferry shares an overlapping codebase with YAHOYAH, though it has several features which makes it a distinct piece of malware."
Execution,"USBferry shares an overlapping codebase with YAHOYAH, though it has several features which makes it a distinct piece of malware."
Lateral Movement,"USBferry shares an overlapping codebase with YAHOYAH, though it has several features which makes it a distinct piece of malware."
Initial Access,"USBferry shares an overlapping codebase with YAHOYAH, though it has several features which makes it a distinct piece of malware."
Defense Evasion,"USBferry shares an overlapping codebase with YAHOYAH, though it has several features which makes it a distinct piece of malware."
Collection,"USBferry shares an overlapping codebase with YAHOYAH, though it has several features which makes it a distinct piece of malware."
Lateral Movement,BlackCat is ransomware written in Rust that has been offered via the Ransomware-as-a-Service RaaS model.
Discovery,BlackCat is ransomware written in Rust that has been offered via the Ransomware-as-a-Service RaaS model.
Impact,BlackCat is ransomware written in Rust that has been offered via the Ransomware-as-a-Service RaaS model.
Privilege Escalation,BlackCat is ransomware written in Rust that has been offered via the Ransomware-as-a-Service RaaS model.
Defense Evasion,BlackCat is ransomware written in Rust that has been offered via the Ransomware-as-a-Service RaaS model.
Execution,BlackCat is ransomware written in Rust that has been offered via the Ransomware-as-a-Service RaaS model.
Lateral Movement,"First observed November 2021, BlackCat has been used to target multiple sectors and organizations in various countries and regions in Africa, the Americas, Asia, Australia, and Europe."
Discovery,"First observed November 2021, BlackCat has been used to target multiple sectors and organizations in various countries and regions in Africa, the Americas, Asia, Australia, and Europe."
Impact,"First observed November 2021, BlackCat has been used to target multiple sectors and organizations in various countries and regions in Africa, the Americas, Asia, Australia, and Europe."
Privilege Escalation,"First observed November 2021, BlackCat has been used to target multiple sectors and organizations in various countries and regions in Africa, the Americas, Asia, Australia, and Europe."
Defense Evasion,"First observed November 2021, BlackCat has been used to target multiple sectors and organizations in various countries and regions in Africa, the Americas, Asia, Australia, and Europe."
Execution,"First observed November 2021, BlackCat has been used to target multiple sectors and organizations in various countries and regions in Africa, the Americas, Asia, Australia, and Europe."
Discovery,POWRUNER is a PowerShell script that sends and receives commands to and from the C2 server.
Command and Control,POWRUNER is a PowerShell script that sends and receives commands to and from the C2 server.
Execution,POWRUNER is a PowerShell script that sends and receives commands to and from the C2 server.
Persistence,POWRUNER is a PowerShell script that sends and receives commands to and from the C2 server.
Privilege Escalation,POWRUNER is a PowerShell script that sends and receives commands to and from the C2 server.
Collection,POWRUNER is a PowerShell script that sends and receives commands to and from the C2 server.
Discovery,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Command and Control,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Collection,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Persistence,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Privilege Escalation,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Defense Evasion,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Lateral Movement,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Execution,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Credential Access,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Exfiltration,MacMa is a macOS-based backdoor with a large set of functionalities to control and exfiltrate files from a compromised computer.
Discovery,MacMa has been observed in the wild since November 2021.
Command and Control,MacMa has been observed in the wild since November 2021.
Collection,MacMa has been observed in the wild since November 2021.
Persistence,MacMa has been observed in the wild since November 2021.
Privilege Escalation,MacMa has been observed in the wild since November 2021.
Defense Evasion,MacMa has been observed in the wild since November 2021.
Lateral Movement,MacMa has been observed in the wild since November 2021.
Execution,MacMa has been observed in the wild since November 2021.
Credential Access,MacMa has been observed in the wild since November 2021.
Exfiltration,MacMa has been observed in the wild since November 2021.
Discovery,Comnie is a remote backdoor which has been used in attacks in East Asia.
Collection,Comnie is a remote backdoor which has been used in attacks in East Asia.
Execution,Comnie is a remote backdoor which has been used in attacks in East Asia.
Command and Control,Comnie is a remote backdoor which has been used in attacks in East Asia.
Persistence,Comnie is a remote backdoor which has been used in attacks in East Asia.
Privilege Escalation,Comnie is a remote backdoor which has been used in attacks in East Asia.
Defense Evasion,Comnie is a remote backdoor which has been used in attacks in East Asia.
Command and Control,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
Collection,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
Resource Development,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
Initial Access,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
Defense Evasion,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
Lateral Movement,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
Execution,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
Persistence,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
Privilege Escalation,"Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008."
