Key,Value
T1083,"Software has the ability to list files and file characteristics including extension, size, ownership, and permissions."
T1057,Attacker malware can list running processes.
T1105,Software can download additional payloads to a compromised host.
T1568,Software can use dynamic DNS domain names in C2.
T1555,Software use Nirsoft Network Password Recovery or NetPass tools to steal stored RDP credentials in some malware versions.
T1046,Software can perform port scanning of TCP and UDP ports.
T1118,InstallUtil.exe is digitally signed by Microsoft.
T1027,Software is obscured using XOR encoding and appended to a valid GIF file.
T1049,Software has used <code>net session</code> on the victim's machine.
T1120,Software has the ability to monitor removable drives.
T1048,Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel.
T1210,Attacker has exploited or attempted to exploit Zerologon  and EternalBlue  vulnerabilities.
T1016,"Software can obtain information about network configuration, including the routing table, ARP cache, and DNS cache."
T1005,Attacker has collected data and files from compromised networks.
T1113,Software has the ability to capture screenshots on compromised hosts.
T1498,"Adversaries have been observed conducting network DoS attacks for political purposes and to support other malicious activities, including distraction, hacktivism, and extortion."
T1046,"Attacker performed network scanning on the network to search for open ports, services, OS finger-printing, and other vulnerabilities."
T1027,Software has used XOR-encoded strings.
T1105,"Software can upload and download files, including second-stage malware."
T1140,Software has used XOR and Base64 to decode C2 data.
T1083,"Software allows adversaries to enumerate and modify the infected host's file system. It supports searching for directories, creating directories, listing directory contents, reading and writing to files, retrieving file attributes, and retrieving volume information."
T1016,Software will look for the current IP address.
T1571,Some Software samples have used HTTP over ports 447 and 8082 for C2. Newer versions of Software have been known to use a custom communication protocol which sends the data unencrypted over port 443.
T1140,APT34 has used certutil to decode base64-encoded files on victims.
T1057,Software can enumerate processes on a victim machine through use of Software.
T1484,"Examples of such abuse include:  

* modifying GPOs to push a malicious  to computers throughout the domain environment
* modifying domain trusts to include an adversary-controlled domain, allowing adversaries to  forge access tokens that will subsequently be accepted by victim domain resources
* changing configuration settings within the AD environment to implement a ."
T1570,"In some cases, adversaries may be able to leverage s such as Dropbox or OneDrive to copy files from one machine to another via shared, automatically synced folders."
T1531,"Adversaries who use ransomware or similar attacks may first perform this and other Impact behaviors, such as  and , in order to impede incident response/recovery before completing the  objective."
T1485,Software deletes system files to make the OS unbootable. Software also targets and deletes files with 35 different file extensions.
T1560,"Attacker has compressed exfiltrated data with RAR and used RomeoDelta malware to archive specified directories in .zip format, encrypt the .zip file, and upload it to C2."
T1190,Attacker has exploited known vulnerabilities in public-facing infrastructure such as Microsoft Exchange Servers.
T1012,Software queries the registry to look for information about Terminal Services.
T1083,Software can explore files on a compromised system.
T1041,Attacker has exfiltrated data over its C2 channel.
T1016,Software can gather victim proxy information.
T1135,Software can use <code>net share</code> to identify network shares for use in lateral movement.
T1027,Software has used a custom base64 alphabet to decode files.
T1105,"In some cases, adversaries may be able to leverage services that sync between a web-based and an on-premises client, such as Dropbox or OneDrive, to transfer files onto victim systems."
T1499,Attacking each layer requires different techniques that take advantage of bottlenecks that are unique to the respective components.
T1090,Software can start SOCKS proxy threads.
T1139,"Once a user logs out, the history is flushed to the user’s <code>.bash_history</code> file."
T1489,"Software stops database, data backup solution, antivirus, and ICS-related processes."
T1171,LLMNR is based upon the Domain Name System  format and allows hosts on the same local link to perform name resolution for other hosts.
T1018,"Software, <code>nltest/dclist</code>, and PowerShell script Get-DataInfo.ps1 to enumerate domain computers, including the domain controller."
T1008,Software can change its C2 channel once every 360 loops by retrieving a new domain from the actors’ S3 bucket.
T1083,Software can enumerate files and directories on a target machine.
T1047,Software can use WMI for execution on a compromised host.
T1499,"These layers include the Operating Systems , server applications such as web servers, DNS servers, databases, and the  applications that sit on top of them."
T1104,Attacker has used multi-stage malware components that inject later stages into separate processes.
T1029,Software can sleep for a specific time and be set to communicate at specific intervals.
T1047,Software can use WMI for execution.
T1046,Software can check for open ports on a computer by establishing a TCP connection.
T1528,"The adversary will need to complete registration of their application with the authorization server, for example Microsoft Identity Platform using Azure Portal, the Visual Studio IDE, the command-line interface, PowerShell, or REST API calls."
T1220,"Since msxsl.exe is not installed by default, an adversary will likely need to package it with dropped files."
T1204,"Adversaries can use a combination of these methods, such as spoofing and promoting toll-free numbers or call centers that are used to direct victims to malicious websites, to deliver and execute payloads containing malware or ."
T1041,Attacker's backdoor has exfiltrated data using the already opened channel with its C&C server.
T1040,The adversary can then use exfiltration techniques such as Transfer Data to Cloud Account in order to access the sniffed traffic.
T1058,Adversaries may also alter Registry keys associated with service failure parameters  that may be executed in an elevated context anytime the service fails or is intentionally corrupted.
T1083,Software can retrieve a file listing from the system.
T1091,"and, in some instances, USB charging cables."
T1005,Software can collect files from a compromised host.
T1057,Software uses the <code>tasklist</code> to view running processes on the victim’s machine.
T1110,Attacker has used Ncrack to reveal credentials.
T1106,Software has called the Windows API to retrieve the hard disk handle and shut down the machine.
T1177,The Local Security Authority  is the main component responsible for local security policy and user authentication.
T1016,"Attacker has used malware to collect information on network interfaces, including the MAC address."
T1027,The user may also be required to input a password to open a password protected compressed/encrypted file that was provided by the adversary.
T1185,"Software can perform browser pivoting and inject into a user's browser to inherit cookies, authenticated HTTP sessions, and client SSL certificates."
T1485,Software performs an in-depth wipe of the target filesystem and various attached storage devices through either a data overwrite or calling various IOCTLS to erase it.
T1080,Software has functionality to copy itself to network shares.
T1095,Attacker has used a custom protocol for command and control.
T1005,Software can retrieve information from the infected machine.
T1082,Software can collect the computer name and OS version from a compromised host.
T1133,Software was executed through an open Docker daemon API port.
T1220,"Command-line examples:

* <code>msxsl.exe customers[."
T1027,"Software uses a hard-coded string as a seed, along with the victim machine hardware identifier and input text, to generate a unique string used as an internal mutex value to evade static detection based on mutexes."
T1106,During Attacker used Windows API `ObtainUserAgentString` to obtain the victim's User-Agent and used the value to connect to their C2 server.
T1064,"Attacker has used PowerShell scripts to download and execute programs in memory, without writing to disk."
T1041,Software can connect to C2 for data exfiltration.
T1221,"For example, Microsoft’s Office Open XML  specification defines an XML-based format for Office documents  to replace older binary formats ."
T1095,"If Software does not detect a proxy configured on the infected machine, it will send beacons via UDP/6000. Also, after retrieving a C2 IP address and Port Number, Software will initiate a TCP connection to this socket. The ensuing connection is a plaintext C2 channel in which commands are specified by DWORDs."
T1033,Software obtains the current user's security identifier.
T1057,Attacker looked for a specific process running on infected servers.
T1218,"Adversaries may bypass process and/or signature-based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries."
T1610,"Containers can be deployed by various means, such as via Docker's <code>create</code> and <code>start</code> APIs or via a web application such as the Kubernetes dashboard or Kubeflow."
T1080,Software infects remote servers via network shares and by infecting WinCC database views with malicious code.
T1148,"In some Linux systems, this is set by default to ""ignoreboth"" which covers both of the previous examples."
T1654,"In cloud environments, adversaries may leverage utilities such as the Azure VM Agent’s `CollectGuestLogs.exe` to collect security logs from cloud hosted infrastructure."
T1622,Debugger evasion may include changing behaviors based on the results of the checks for the presence of artifacts indicative of a debugged environment.
T1560,Attacker has manually archived stolen files from victim machines before exfiltration.
T1106,Software's loader can use API functions to load the Software backdoor into the same Application Domain within which the legitimate AD FS managed code is executed.
T1570,Software can be used to download or upload a file over a network share.
T1005,Software has collected data and files from a compromised host.
T1105,Attacker has downloaded additional tools and malware onto compromised networks.
T1057,Software can execute <code>ProcessList</code> for process discovery.
T1652,Software can enumerate device drivers located in the registry at `HKLM\Software\WBEM\WDM`.
T1071,Software has used an IRC channel for C2 communications.
T1082,Attacker has collected the hostname of a compromised machine.
T1082,"Software can gather extended system information including the hostname, OS version number, platform, memory information, time elapsed since system startup, and CPU information."
T1153,The file executed with this technique does not need to be marked executable beforehand.
T1220,]xsl”</code>
T1170,"HTAs are standalone applications that execute using the same models and technologies of Internet Explorer, but outside of the browser."
T1172,Domain fronting takes advantage of routing schemes in Content Delivery Networks  and other services which host multiple domains to obfuscate the intended destination of HTTPS traffic or traffic tunneled through HTTPS.
T1005,Attacker has run scripts to collect documents from targeted hosts.
T1008,Software has the ability to switch between TCP and HTTP for C2 if one method is not working.
T1047,Software has used wmic.exe for local discovery information.
T1156,"For user level permissions, adversaries can insert malicious commands into <code>~/.bash_profile</code>, <code>~/.bash_login</code>, or <code>~/.profile</code>  which are sourced when a user opens a command line interface or connects remotely."
T1486,Software can use an embedded NTRU public key to encrypt data for ransom.
T1491,"Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content."
T1113,Software has the ability to capture screenshots on the infected host.
T1488,Adversaries have been observed leveraging third-party drivers like Software to directly access disk content.
T1589,Attacker has identified specific potential victims at targeted organizations.
T1179,"Hooking is commonly utilized by s to conceal files, processes, Registry keys, and other objects in order to hide malware and associated behaviors."
T1518,Software can enumerate a list of installed programs.
T1140,Attacker decompresses ZIP files once on the victim machine.
T1033,Software can retrieve usernames.
T1057,"Software has a ""Process Watcher"" feature to monitor processes in case the client ever crashes or gets closed."
T1120,Attacker has searched for attached VGA devices using lspci.
T1482,Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments.
T1096,Adversaries may store malicious data or binaries in file attribute metadata instead of directly in files.
T1073,Programs that improperly or vaguely specify a required DLL may be open to a vulnerability in which an unintended DLL is loaded.
T1016,Software can retrieve the internal IP address of a compromised host.
T1133,"Access to  to use the service is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the enterprise network."
T1105,Attacker had downloaded additional tools to a compromised host.
T1016,"During , threat actors discovered the local network configuration with `ipconfig`."
T1133,Attacker used VPNs and Outlook Web Access  to maintain access to victim networks.
T1560,Software has encrypted stolen credit card information with AES and further encoded it with Base64.
T1057,Software collects its process identifier  on the victim.
T1497,Software has methods to check if the process the malware uses is being debugged.
T1016,Software can be used to discover routing configuration information.
T1059,"Attacker has used scripting to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files."
T1223,"CHM files are compressed compilations of various content such as HTML documents, images, and scripting/web related programming languages such VBA, JScript, Java, and ActiveX."
T1189,Software has been distributed through compromised websites with malicious content often masquerading as browser updates.
T1106,Software has the ability to  enumerate the infected system's user name via <code>GetUserNameW</code>.
T1598,Attacker targeted presidential campaign staffers with credential phishing e-mails.
T1103,"In practice this is nearly every program, since user32.dll is a very common library."
T1047,Attacker has used WMIC.exe for lateral movement.
T1083,Software can obtain a list of all files and directories as well as logical drives.
T1082,"Software collects the computer name, OS versioning information, and OS install date and sends the information to the C2."
T1496,"Adversaries may leverage the resources of co-opted systems to complete resource-intensive tasks, which may impact system and/or hosted service availability."
T1005,Software can upload files from a compromised host.
T1008,Software can communicate over multiple C2 hosts.
T1016,Attacker has collected the domain name of a compromised network.
T1090,Software has the ability to use a reverse SOCKS proxy module.
T1049,Attacker has used <code>net use</code> to conduct connectivity checks to machines.
T1086,Administrator permissions are required to use PowerShell to connect to remote systems.
T1027,Software encrypted log entries it collected with the stream cipher RC4 using a hard-coded key. It also uses AES128-CBC encrypted blobs for Software source code and data extracted from the SolarWinds Orion <MsBuild.exe</code> process.
T1530,"Adversaries may also obtain then abuse leaked credentials from source repositories, logs, or other means as a way to gain access to cloud storage objects."
T1057,Software has the capability to discover processes.
T1119,Attacker used a batch script to perform a series of discovery techniques and saves it to a text file.
T1057,Attacker has used tools to identify running processes on the victim's machine.
T1047,"**Note:** `wmic.exe` is deprecated as of January of 2024, with the WMIC feature being “disabled by default” on Windows 11+."
T1140,"Attacker has used a custom decryption routine, which pulls key and salt values from other artifacts such as a WMI filter or , to decode encrypted PowerShell payloads."
T1573,Attacker has used multiple layers of encryption within malware to protect C2 communication.
T1086,PowerShell is a powerful interactive command-line interface and scripting environment included in the Windows operating system.
T1083,During Software to establish full remote control of the connected machine and browse the victim file system.
T1138,"For example, the application shimming feature allows developers to apply fixes to applications  that were created for Windows XP so that it will work with Windows 10."
T1057,Software has created a snapshot of running processes using `CreateToolhelp32Snapshot`.
T1538,This allows the adversary to gain information without making any API requests.
T1051,This mechanism of shared access and remote execution could be used for lateral movement to the system running the Web server.
T1120,Software can identify removable media attached to compromised hosts.
T1049,Software can use `WTSEnumerateSessionsW` to monitor remote desktop connections.
T1495,"In general, adversaries may manipulate, overwrite, or corrupt firmware in order to deny the use of the system or devices."
T1571,Software communicates on ports 443 and 8000 with a FakeTLS method.
T1082,"Software collects the system information, including hostname and OS version, and sends it to the C2 server."
T1031,Attacker modified Windows Services to ensure PowerShell scripts were loaded on the system.
T1568,When contact is lost with the primary command and control server malware may employ dynamic resolution as a means to reestablishing command and control.
T1043,Software uses port 443 for C2.
T1574,How the operating system locates libraries to be used by a program can also be intercepted.
T1110,"Brute forcing passwords can take place via interaction with a service that will check the validity of those credentials or offline against previously acquired credential data, such as password hashes."
T1656,"For example, an adversary may  targeting one organization which can then be used to support impersonation against other entities."
T1496,"Software harvested system resources to mine cryptocurrency, using XMRig to mine Monero."
T1012,Software can query the host's Registry key at <code>HKEY_CURRENT_USER\Console\QuickEdit</code> to retrieve data.
T1105,Software can download and execute additional payloads on a compromised host.
T1078,Attacker has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor.
T1083,"Software creates a backdoor through which remote attackers can check for the existence of files, including its own components, as well as retrieve a list of logical drives."
T1113,Software is capable of capturing screenshots on Windows and macOS systems.
T1665,"For example, an adversary may use a virtual private cloud to spoof their IP address to closer align with a victim's IP address ranges."
T1078,"Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion."
T1526,"Software can enumerate information about a variety of cloud services, such as Office 365 and Sharepoint instances or OpenID Configurations."
T1072,"Attacker actors used a victim's endpoint management platform, Altiris, for lateral movement."
T1036,Software can masquerade as pirated media content for initial delivery to victims.
T1082,Software has the ability to gather the hostname of the victim machine.
T1049,"Attacker surveys a system upon check-in to discover active local network connections using the <code>netstat -an</code>, <code>net use</code>, <code>net file</code>, and <code>net session</code> commands. Attacker RPC backdoors have also enumerated the IPv4 TCP connection table via the <code>GetTcpTable2</code> API call."
T1108,"If one type of tool is detected and blocked or removed as a response but the organization did not gain a full understanding of the adversary's tools and access, then the adversary will be able to retain access to the network."
T1217,Software retrieves the user profile data  from Chrome and Firefox browsers.
T1611,Adversaries may break out of a container to gain access to the underlying host.
T1045,Packing an executable changes the file signature in an attempt to avoid signature-based detection.
T1105,"During , the threat actors downloaded additional tools and files onto victim machines."
T1082,Software can determine whether the ISO payload was received by a Windows or iOS device.
T1041,"Software can send screenshots files, keylogger data, files, and recorded audio back to the C2 server."
T1647,"For example, adversaries can add a malicious application path to the `~/Library/Preferences/com.apple.dock.plist` file, which controls apps that appear in the Dock."
T1005,Attacker has collected files from infected systems and uploaded them to a C2 server.
T1148,"<code>HISTCONTROL</code> does not exist by default on macOS, but can be set by the user and will be respected."
T1064,"Attacker has used macros, PowerShell scripts, COM scriptlets, and VBS scripts."
T1082,Attacker has used malware that can collect the victim’s OS version and machine name.
T1124,Software can use <code>GetLocalTime</code> and <code>GetSystemTime</code> to collect system time.
T1112,Software has added entries to the Registry for ransom contact information.
T1656,"These campaigns are often specifically targeted against people who, due to job roles and/or accesses, can carry out the adversary’s goal."
T1003,"Dragonfly dropped and executed SecretsDump, a tool that dumps password hashes."
T1184,This may occur through compromising the SSH agent itself or by having access to the agent's socket.
T1123,Software has modules that are capable of capturing audio.
T1061,Please use  where appropriate.
T1555,Software has the ability to steal saved passwords from Microsoft Outlook.
T1106,Software can call `System.Net.HttpWebRequest` to identify the default proxy configured on the victim computer.
T1502,"For example, an adversary in a privileged user context (i.e."
T1210,Software has been seen exploiting SMB via a vulnerability exploit like EternalBlue  to achieve lateral movement and propagation.
T1119,"Software has automatically collected data from USB drives, keystrokes, and screen images before exfiltration."
T1142,"By default, the passphrase for the keychain is the user’s logon credentials."
T1580,"An adversary may also use this information to change the configuration to make the bucket publicly accessible, allowing data to be accessed without authentication."
T1597,Adversaries may search and gather information about victims from closed sources that can be used during targeting.
T1057,Software collects information about running processes from victims.
T1558,"Kerberos tickets on macOS are stored in a standard ccache format, similar to Linux."
T1064,Common scripting languages for Windows include VBScript and  but could also be in the form of command-line batch scripts.
T1083,Software has enumerated files and folders on all mounted drives.
T1067,"### Volume Boot Record
The MBR passes control of the boot process to the VBR."
T1153,This built-in command can be run in two different ways <code>source /path/to/filename </code> or <code>.
T1619,Adversaries may enumerate objects in cloud storage infrastructure.
T1014,"Software hides from defenders by hooking libc function calls, hiding artifacts that would reveal its presence, such as the user account it creates to provide access and undermining strace, a tool often used to identify malware."
T1609,Software can use `kubectl` or the Kubernetes API to run commands.
T1144,"If it exists, then macOS will then prompt the user to confirmation that they want to run the program and will even provide the URL where the application came from."
T1083,Software searches attached and mounted drives for file extensions and keywords that match a predefined list.
T1113,Software can collect screenshots of the victim’s machine.
T1033,Software can identify the user on a targeted system.
T1134,Attacker has used JuicyPotato to abuse the <code>SeImpersonate</code> token privilege to escalate from web application pool accounts to NT Authority\SYSTEM.
T1572,"Tunneling could also enable routing of network packets that would otherwise not reach their intended destination, such as SMB, RDP, or other traffic that would be filtered by network appliances or not routed over the Internet."
T1041,Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.
T1046,"Attacker has used SMBTouch, a vulnerability scanner, to determine whether a target is vulnerable to EternalBlue malware."
T1489,"Software can stop up to 146 Windows services related to security, backup, database, and email solutions through the use of <code>net stop</code>."
T1003,Several of the tools mentioned in associated sub-techniques may be used by both adversaries and professional security testers.
T1007,Software can be used to discover services running on a system.
T1176,"Once the extension is installed, it can browse to websites in the background, steal all information that a user enters into a browser , and be used as an installer for a RAT for persistence."
T1070,"Attacker temporarily replaced legitimate utilities with their own, executed their payload, and then restored the original file."
T1114,Dragonfly leveraged Outlook Web Access.
T1071,Software conducts peer-to-peer communication over Windows named pipes encapsulated in the SMB protocol. All protocols use their standard assigned ports.
T1060,There is a startup folder location for individual user accounts as well as a system-wide startup folder that will be checked regardless of which user account logs in.
T1178,Adversaries may use this mechanism for privilege escalation.
T1207,Software’s <code>LSADUMP::DCShadow</code> module can be used to make AD updates by temporarily setting a computer to be a DC.
T1043,Attacker has used port 8080 for C2.
T1082,"Software can identify the OS version, CPU, and other details from a victim's machine."
T1193,SHUTTERSPEED has been delivered via spearphishing emails containing documents exploiting RTF vulnerability CVE-2017-0199.
T1115,Software can capture clipboard data from a compromised host.
T1083,"Attacker Spider enumerates a target organization for files and directories of interest, including source code."
T1554,"Since these binaries may be routinely executed by applications or the user, the adversary can leverage this for persistent access to the host."
T1016,Software obtains the target's IP address and local network segment.
T1140,Software can deobfuscate XOR-encoded shellcode prior to execution.
T1068,Software can use CVE-2019-0859 to escalate privileges on a compromised host.
T1184,Compromising the SSH agent also provides access to intercept SSH credentials.
T1041,Software has the ability to send collected files over its C2.
T1120,Software can identify and search removable drives for specific file name extensions.
T1025,Software steals files based on an extension list if a USB drive is connected to the system.
T1159,Software creates a Launch Agent on macOS.
T1088,Adversaries can use these techniques to elevate privileges to administrator if the target process is unprotected.
T1107,Software attempts to overwrite operating system files with image files.
T1135,The <code>net view \\remotesystem</code> and <code>net share</code> commands in Software can be used to find shared drives and directories on remote and local systems respectively.
T1140,Software can deobfuscate shellcode using a rolling XOR and decrypt metadata from Beacon sessions.
T1129,Software can use `LoadLibrary` to attempt to execute GdiPlus.dll.
T1140,Software can deobfuscate its payload prior to execution.
T1046,Software is capable of probing the network for open ports.
T1135,"Attacker has identified and browsed file servers in the victim network, sometimes , viewing files pertaining to ICS or Supervisory Control and Data Acquisition  systems."
T1220,]jpeg script[.
T1105,Attacker payloads download additional files from the C2 server.
T1162,Users have direct control over login items installed using a shared file list which are also visible in System Preferences .
T1190,"Attacker has exploited multiple unpatched vulnerabilities for initial access including vulnerabilities in Microsoft Exchange, Manage Engine AdSelfService Plus, Confluence, and Log4j."
T1529,Software can shutdown the infected machine.
T1105,Software can download files and additional malware.
T1119,Software recursively generates a list of files within a directory and sends them back to the control server.
T1049,"Additionally, built-in features native to network devices and  may be used (e.g."
T1059,Attacker used SQL scripts to help perform tasks on the victim's machine.
T1134,Software's <code>Invoke-TokenManipulation</code> Exfiltration module can be used to manipulate tokens.
T1087,Attacker obtained a list of users and their roles from an Exchange server using <code>Get-ManagementRoleAssignment</code>.
T1033,"During , the threat actors used the `query user` and `whoami` commands as part of their advanced reconnaissance."
T1095,Attacker has used TCP for C2 communications.
T1034,"**

Path interception occurs when an executable is placed in a specific path so that it is executed by an application instead of the intended target."
T1105,Software has the ability to send and receive files.
T1048,Software can use DNS tunneling for exfiltration of credit card data.
T1003,"Software steals credentials from compromised hosts. Software's credential stealing functionality is believed to be based on the source code of the Pinch credential stealing malware . Credentials targeted by Software include ones associated many sources such as WinInet Credential Cache, and Lightweight Directory Access Protocol ."
T1104,"After initial compromise, Software will download a second stage to establish a more permanent presence on the affected system."
T1065,Adversaries may conduct C2 communications over a non-standard port to bypass proxies and firewalls that have been improperly configured.
T1565,"For complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact."
T1041,Adversaries can direct Software to upload files to the C2 Server.
T1543,Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence.
T1055,"More sophisticated samples may perform multiple process injections to segment modules and further evade detection, utilizing named pipes or other inter-process communication  mechanisms as a communication channel."
T1518,Software can query the Registry for installed applications.
T1211,Attacker has used CVE-2015-4902 to bypass security features.
T1049,Software can execute `netstat.exe -f` on a compromised machine.
T1041,Attacker has a tool that exfiltrates data over the C2 channel.
T1105,Software can receive data and executable scripts from C2.
T1123,Software can load a module to leverage the LAME encoder and `mciSendStringW` to control and capture audio.
T1192,"It is different from other forms of spearphishing in that it employs the use of links to download malware contained in email, instead of attaching malicious files to the email itself, to avoid defenses that may inspect email attachments."
T1598,"Phishing for information frequently involves social engineering techniques, such as posing as a source with a reason to collect information  or ) and/or sending multiple, seemingly urgent messages."
T1119,"Software gathered information automatically, without instruction from a C2, related to the user and host machine that is compiled into a report and sent to the operators."
T1140,Software uses Software to decompress a CAB file into executable content.
T1039,Attacker has collected data of interest from network shares.
T1041,Software can send information about the compromised host and upload data to a hardcoded C2 server.
T1016,"Attacker malware gathers the victim's local IP address, MAC address, and external IP address."
T1490,This may deny access to available backups and recovery options.
T1140,Software has the ability to unpack itself into memory using XOR.
T1105,Software can download and execute additional files.
T1098,Attacker has been known to add created accounts to local admin groups to maintain elevated access.
T1151,"For example, if there is a Mach-O executable file called evil.bin, when it is double clicked by a user, it will launch Terminal.app and execute."
T1043,Software uses port 8000 and 443 for C2.
T1016,Software and `tracert` for network discovery.
T1195,Targeting may be specific to a desired victim set or malicious software may be distributed to a broad set of consumers but only move on to additional tactics on specific victims.
T1105,Software has the ability to upload and download files from its C2 server.
T1018,Software uses the native Windows Network Enumeration APIs to interrogate and discover targets in a Windows Active Directory network.
T1083,Software can list files and directories.
T1498,A Network DoS will occur when the bandwidth capacity of the network connection to a system is exhausted due to the volume of malicious traffic directed at the resource or the network connections and network devices the resource relies on.
T1041,Software can exfiltrate collected data to its C2 servers.
T1057,Software has checked for the Google Updater process to ensure Software was loaded properly.
T1203,"Software attempts to exploit the following vulnerabilities in order to execute its malicious script: CVE-2012-0874, CVE-2010-1871, CVE-2017-10271, CVE-2018-2894, CVE-2016-3088, JBoss AS 3/4/5/6, and the Hadoop YARN ResourceManager."
T1653,"Other relevant settings, such as disk and hibernate timeout, can be similarly abused to keep the infected machine running even if no user is active."
T1047,Software executes received commands with wmic.exe .
T1221,"OOXML files are packed together ZIP archives compromised of various XML files, referred to as parts, containing properties that collectively define how a document is rendered."
T1105,Software has the ability to download files to a compromised host.
T1046,Software has a built-in module for port scanning.
T1083,Software gathers file and directory information from the victim’s machine.
T1105,Software can download and execute new versions of itself.
T1027,"Software uses steganography to hide backdoors in PNG files, which are also encrypted using the Tiny Encryption Algorithm ."
T1112,Attacker has enabled Wdigest by changing the registry value from 0 to 1.
T1076,There are other implementations and third-party tools that provide graphical access  similar to RDS.
T1007,Attacker has used TROJ_GETVERSION to discover system services.
T1105,Software can download an executable to run on the victim.
T1025,Software contains a module that collects documents with certain extensions from removable media or fixed drives connected via USB.
T1139,Attackers can abuse this by looking through the file for potential credentials.
T1140,Software can use a decryption algorithm for strings based on Rotate on Right  and Rotate on Left  functionality.
T1090,"Attacker's BCS-server tool can create an internal proxy server to redirect traffic from the adversary-controlled C2 to internal servers which may not be connected to the internet, but are interconnected locally."
T1146,"In addition to clearing system logs, an adversary may clear the command history of a compromised account to conceal the actions undertaken during an intrusion."
T1115,"For example, on Windows adversaries can access clipboard data by using <code>clip.exe</code> or <code>Get-Clipboard</code>."
T1482,Software can gather information about organizational units  and domain trusts from Active Directory.
T1492,"By manipulating stored data, adversaries may attempt to affect a business process, organizational understanding, and decision making."
T1033,"Attacker has used ""whoami"" to identify the local user and their privileges."
T1071,Software uses HTTPS for C2 communications.
T1150,"They detail when programs should execute, file paths to the executables, program arguments, required OS permissions, and many others."
T1018,Software can broadcasts NetBIOS Name Service  messages to search for servers connected to compromised networks.
T1499,"In such circumstances, distinguishing DDoS traffic from legitimate clients becomes exceedingly difficult."
T1570,Attacker has copied tools within a compromised network using RDP.
T1124,Software can send time zone information from a compromised host to C2.
T1106,"Software can use Windows API functions such as <code>WriteFile</code>, <code>CloseHandle</code>, and <code>GetCurrentHwProfile</code> during its collection and file storage operations. Software can execute its embedded components via <code>CreateProcessA</code> and <code>ShellExecute</code>."
T1041,Software has the ability to exfiltrate data over the Microsoft Outlook C2 channel.
T1502,Adversaries may spoof the parent process identifier  of a new process to evade process-monitoring defenses or to elevate privileges.
T1005,Software can upload files from compromised hosts.
T1486,Software can encrypt files with the ChaCha20 cypher and using a multithreaded process to increase speed.
T1112,Software can modify the Registry to store its configuration information in a randomly named subkey under <code>HKCU\Software\Microsoft</code>.
T1018,"During the Attacker remotely discovered systems over LAN connections. OT systems were visible from the IT network   as well, giving adversaries the ability to discover operational assets."
T1620,"Reflective loading involves allocating then executing payloads directly within the memory of the process, vice creating a thread or process backed by a file path on disk )."
T1005,"Software has collected files from victim machines, including certificates and cookies."
T1486,Software ransomware to encrypt data at targeted organizations in transportation and related logistics industries in Ukraine and Poland.
T1112,Software has modified Managed Object Format  files within the Registry to run specific commands and create persistence on the system.
T1034,**This technique has been deprecated.
T1550,"Attacker used forged SAML tokens that allowed the actors to impersonate users and bypass MFA, enabling Attacker to access enterprise cloud applications and services."
T1068,Software has used a zero-day exploit in the ssh launchdaemon to elevate privileges and bypass SIP.
T1499,This can increase the difficulty defenders have in defending against the attack by reducing or eliminating the effectiveness of filtering by the source address on network defense devices.
T1120,"During , threat actors discovered removable disks attached to a system."
T1027,"Software can encrypt the names of requested APIs and deliver its final payload as a compressed, encrypted and base64 encoded blob."
T1016,Software can identify the IP and MAC addresses of the compromised host.
T1197,Attacker has used the BITS protocol to exfiltrate stolen data from a compromised host.
T1033,Software can collect the username from a compromised host.
T1005,Attacker has searched local system resources to access sensitive documents.
T1554,Software can embed itself into a legitimate file on compromised Ivanti Connect Secure VPNs.
T1555,"Passwords are stored in several places on a system, depending on the operating system or application holding the credentials."
T1140,Methods for doing that include built-in functionality of malware or by using utilities present on the system.
T1518,Software gathered a list of installed software on the infected host.
T1101,The SSP configuration is stored in two Registry keys: <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages</code> and <code>HKLM\SYSTEM\CurrentControlSet\Control\Lsa\OSConfig\Security Packages</code>.
T1162,MacOS provides the option to list specific applications to run when a user logs in.
T1065,Software has used ports 8060 and 8888 for C2.
T1158,Adversaries can use this to their advantage to hide files and folders anywhere on the system for persistence and evading a typical user or system analysis that does not incorporate investigation of hidden files.
T1041,"Software can send stolen information to C2 nodes including passwords, accounts, and emails."
T1598,All forms of phishing are electronically delivered social engineering.
T1082,Software can check the disk size through the values obtained with `DeviceInfo.`
T1070,Software has the ability to delete emails used for C2 once the content has been copied.
